Storm # ,Date ,Time ,Lat ,Lon ,"Max
Winds
(kt) ","Landfall
State ","Storm
Names "
9,10/11/1898$*,1200Z,24.5,80,40,FL ,
1,1899-06-27,0900Z,29.1,95.1,35,TX ,
2,7/30/1899$,1000Z,24.9,80.6,40,FL ,
3,8/13/1899*,1200Z,27,78.6,60,FL ,
6,10/5/1899$,1000Z,27.9,82.8,50,FL ,
1900s ,,,,,,,
4,1900-09-13,0600Z,29.1,89.5,40,LA ,
4,1900-09-13,1500Z,30.3,88.8,35,MS ,
6,1900-10-12,0300Z,29.5,83.3,40,FL ,
1,1901-06-13,2100Z,29.9,84.6,35,FL ,
2,1901-07-10,1000Z,28.6,96,45,TX ,
3,1901-07-12,2200Z,34,77.9,35,NC ,
4,1901-08-10,2200Z,26.3,80.1,40,FL ,
8,1901-09-17,2000Z,30.4,86.6,50,FL ,
10,1901-09-28,0300Z,29.9,84.6,40,FL ,
1,1902-06-14,2300Z,29.8,83.7,50,FL ,
2,1902-06-26,2100Z,27.7,97.2,60,TX ,
4,1902-10-10,2100Z,30.3,87.3,50,FL ,
1903,None ,,,,,,
4,1904-10-20,1000Z,25.5,81.2,35,FL ,
6,1904-11-03,1200Z,30.3,86.7,35,FL ,
3,1905-09-29,1000Z,29.6,92.6,45,LA ,
5,1905-10-09,1700Z,29.5,91.4,45,LA ,
1,1906-06-12,2000Z,30.1,85.6,45,FL ,
8,1906-10-21,0900Z,30,81.4,50,FL ,
1,1907-06-28,2300Z,30.3,85.9,50,FL ,
2,1907-09-21,1700Z,30.4,88.9,40,MS ,
3,1907-09-28,2000Z,30.1,85.7,45,FL ,
2,5/29/1908&,2100Z,35.2,75.6,55,NC ,
2,1908-05-30,2300Z,41.3,72,35,CT ,
4,1908-07-31,2200Z,29.5,91.9,50,LA ,
5,1908-09-01,0800Z,34.6,76.6,45,NC ,
3,1909-06-28,2000Z,26,80.1,45,FL ,
3,1909-06-30,1400Z,30.1,84.1,35,FL ,
8,1909-08-29,0900Z,26.4,80.1,45,FL ,
1910s ,,,,,,,
2,8/21/1910#,0000Z,25.7,97.2,40,TX ,
1911,None ,,,,,,
1,1912-06-13,0500Z,29.6,91.6,60,LA ,
2,1912-07-15,1500Z,31.3,81.3,45,GA ,
1913,None ,,,,,,
1,1914-09-17,0700Z,30.6,81.4,60,GA ,
1915,None ,,,,,,
1,1916-05-14,0600Z,25.1,81,35,FL ,
3,1916-07-21,1300Z,41.4,71.2,60,MA ,
7,1916-08-25,0800Z,25.6,80.3,40,FL ,
9,1916-09-06,0600Z,33.9,78.3,45,NC ,
12,1916-10-04,2100Z,31.5,81.4,50,GA ,
1917,None ,,,,,,
1918,None ,,,,,,
1,1919-07-04,1100Z,30.4,87,55,FL ,
4,1919-10-01,0100Z,31.2,81.3,40,GA ,
1920s ,,,,,,,
3,1920-09-23,0600Z,33.7,78.2,55,NC ,
5,1920-09-30,0900Z,28.9,82.9,55,FL ,
7,11/23/1921*,0600Z,22.1,81.5,35,FL ,
3,9/21/1922*,1200Z,32,75,40,NC ,
1,1923-06-26,0500Z,29.1,90.1,40,LA ,
8,1923-10-18,0100Z,30.3,89,50,MS ,
7,1923-10-19,0900Z,41.3,70.6,50,MA ,
8,1924-09-29,2100Z,30,84,55,FL ,
3,9/7/1925#,0000Z,25.1,97.3,35,TX ,
4,1925-12-01,0300Z,26.3,81.9,55,FL ,
4,9/17/1926*,0000Z,37.8,68,40,MA ,
1,8/24/1927*,1800Z,38,71.5,60,MA ,
5,1927-10-03,0900Z,32.5,80.4,50,SC ,
1,1928-08-10,0400Z,30,84.3,35,FL ,
2,1928-08-13,0300Z,24.7,81.4,60,FL ,
2,1928-08-14,1400Z,29.9,84.7,45,FL ,
1929,None ,,,,,,
1930s ,,,,,,,
2,1930-09-09,0900Z,27.5,82.7,40,FL ,
2,9/13/1930*,0000Z,35.1,75.2,60,NC ,
1,1931-06-27,2200Z,26.6,97.3,40,TX ,
2,1931-07-15,1000Z,29.2,91,50,LA ,
3,1932-08-30,0400Z,25.3,80.3,55,FL ,
4,9/9/1932*,0000Z,38.6,69,50,MA ,
6,1932-09-15,0400Z,30,83.9,50,FL ,
8,1932-09-19,1900Z,29.6,91.9,55,LA ,
3,1933-07-23,0800Z,28.6,96,40,TX ,
11,1933-09-05,0400Z,29.2,82.9,55,FL ,
17,10/5/1933*,0800Z,24.4,80.6,55,FL ,
5,8/28/1934*,0000Z,29,94.9,40,TX ,
6,1934-09-03,1000Z,35,76.2,40,NC ,
7,1934-09-09,0400Z,41.2,73,50,CT ,
11,1934-10-06,0100Z,30.3,87.4,45,FL ,
5,9/29/1935*,0000Z,25.2,79.6,55,FL ,
1,1936-06-15,0800Z,25.9,81.7,40,FL ,
4,1936-07-27,1600Z,29.1,90.2,40,LA ,
5,1936-07-29,0200Z,25.3,80.3,55,FL ,
9,1936-08-21,2200Z,28.9,80.8,50,FL ,
14,9/13/1936#,1600Z,25.9,97.1,45,TX ,
1,1937-07-29,2200Z,28.1,82.8,55,FL ,
1,7/31/1937*,1500Z,35.1,75.6,60,NC ,
3,1937-08-30,1400Z,29.1,80.9,60,FL ,
7,1937-09-19,1800Z,29.1,89.3,40,LA ,
7,1937-09-20,1600Z,29.7,85.4,35,FL ,
10,1937-10-03,1200Z,29.5,92,35,LA ,
10,1937-10-03,1400Z,29.8,92,35,LA ,
7,1938-10-17,1300Z,29.3,94.8,40,TX ,
1,1939-06-16,1300Z,30.3,87.6,50,AL ,
4,1939-09-26,0800Z,29.1,90.2,45,LA ,
1940s ,,,,,,,
4,9/2/1940*,0800Z,40.6,69.2,55,MA ,
4,9/2/1940*,2000Z,44.1,66.4,40,ME ,
5,9/16/1940*,1500Z,39.9,67.1,40,MA ,
6,1940-09-24,0900Z,29.8,93.4,40,LA ,
